slug,title,url,review_tier,description_rank_SHARED_TIES,WebMCP Leverage,Execution,Potential Impact,Creativity & Ambition,description_score_out_of_100_NOT_OFFICIAL,strengths,weaknesses,WebMCP Leverage rationale,Execution rationale,Potential Impact rationale,Creativity & Ambition rationale,verdict,confidence,disposition,scorecard,evidence_quotes,prior_source_review,original_top10_rank,date_policy,repository_links,video_links,reconciled_score_out_of_100_NOT_OFFICIAL,reconciled_L_E_I_C,comparative_reassessment
auralis-webmcp,Auralis WebMCP,https://devpost.com/software/auralis-webmcp,individual AI review of complete saved public description; no new runtime verification,136,9,8.5,7.5,8.5,83.75,Interrupted playback never counts as heard. | Physical volume acknowledgment cannot be supplied by a tool.,"One synthetic scene does not reproduce individual hearing loss, and educational outcomes are not demonstrated.","Revision-bound waits, permitted next actions and separate playback grants make collaboration unusually precise.","Interrupted-audio handling, quiet lead-in and native session observations support execution.",Families can discuss listening difficulty without diagnostic claims.,A shared listening experiment with deliberate agent silence and continuation is distinctive.,One of the strongest human-agent interaction descriptions. Its careful nonclinical scope should remain central to evaluation.,high,contender,review/broad/scorecards/auralis-webmcp.md,Interrupted audio never counts as heard. | It is not intended to diagnose hearing,description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/OnFiala/auralis-webmcp,https://www.youtube.com/embed/Fxa2K2UFE6I?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent
bandmate-webmcp,Bandmate-WebMCP,https://devpost.com/software/bandmate-webmcp,individual AI review of complete saved public description; no new runtime verification,136,9,8.5,7.5,8.5,83.75,Agent undo refuses to remove the latest human action. | Autoplay refusal points the user to an explicit audio unlock.,Four bars and fixed tracks constrain composition; late audition decisions require careful host-timeout handling.,Recording-dependent writer removal and awaiting auditions make capabilities follow the actual musical session.,"One clock, transient previews and authored undo rules address specific collaboration risks.",Rapid accompaniment and portable MIDI have practical educational value.,"The agent asks human ears to choose while operating exact note structure, a distinctive division of labor.",A leading compact collaboration with strong lifecycle design. Broader musical scope and timeout consistency are the main next checks.,high,contender,review/broad/scorecards/bandmate-webmcp.md,Record live and its writers are unregistered until you stop. | the undo tool refuses when the top entry is human.,description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/MRinkl/bandmate,https://www.youtube.com/embed/qa8T7CQl7_0?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent
captain-s-table,Captain's Table,https://devpost.com/software/captain-s-table,individual AI review of complete saved public description; no new runtime verification,136,9,8.5,7.5,8.5,83.75,Retained callbacks carry their issuing revision and fail before mutation. | Exact-plan human authorization and idempotent receipts support recovery.,Authorization-expiry and storage-fault browser cases are still planned. | Evidence gap: a confirmed reservation's connection to a real provider is unclear.,Server-enforced capability epochs address stale tool handles beyond merely unregistering page tools.,"A detailed R1-R6 journey, replay receipt and two-tab probes make the bounded implementation persuasive.","Offsite coordination is credible, while actual external reservation integration is not established.","Separating registration, discovery, invocation and authority is unusually thoughtful WebMCP engineering.",One of this batch's strongest WebMCP-specific candidates. Provider scope and failure-path coverage are the key follow-up questions.,high,contender,review/broad/scorecards/captain-s-table.md,Client-side removal therefore cannot be the safety boundary. | Execution is idempotent and returns the original receipt on replay.,description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/ArielSmoliar/WebMCP,https://www.youtube.com/embed/5sASgRzem2Q?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent
host-stand,Host Stand,https://devpost.com/software/host-stand,individual AI review of complete saved public description; no new runtime verification,136,9,8.5,7.5,8.5,83.75,"Every write is version checked, and subjective guest requests remain distinct from hard rules. | The description explicitly guards against leaking grading predicates into agent observations.","Live reservation feeds and real host trials remain future work, so service outcomes are only simulated.","Version-checked whole-night plans, host rejection and shared constraints create substantive negotiated collaboration.","Seeded simulation, grading isolation and concurrency-focused verification make the bounded implementation unusually coherent.",Restaurant seating mixes hard capacity with human knowledge in a well-matched operational problem.,Planning an entire service while adapting to host judgment is more original than reservation CRUD.,One of the stronger described human-agent planning systems. Trials during real restaurant service would most test whether its planning and override model transfer.,high,contender,review/broad/scorecards/host-stand.md,"an expected_version check on every write | cover generation, grading, concurrency, and the browser flows",description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/lakerw8/host-stand,https://www.youtube.com/embed/uuPk4ZxyYOA?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent
identitymap-witness,IdentityMap Witness,https://devpost.com/software/identitymap-witness,individual AI review of complete saved public description; no new runtime verification,136,9,8.5,7.5,8.5,83.75,The agent cannot Save or Apply; its output is a review packet grounded in the current draft. | The text explicitly limits CANARY redaction and does not present unrun comparison arms as results.,An exhaustive eight-persona fixture does not establish effectiveness on production identity systems.,"Revision-bound counterexamples, human safety rules and review-only patches make the agent a constrained analytical partner.","Failed-call atomicity, bounded outputs and recovery from observed host timeouts support a carefully scoped implementation.","Finding identity-mapping mistakes before saving is valuable, though the fixture is small and synthetic.",Minimal counterexample witnesses and stale-evidence invalidation provide distinctive proof-oriented collaboration.,A strong bounded verification workflow with unusually candid evaluation limits. Larger realistic mappings and completed comparative experiments would most improve it.,high,contender,review/broad/scorecards/identitymap-witness.md,find a minimal counterexample set | Failed calls leave the committed draft unchanged.,description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/Caleb0796/identitymap-witness,https://www.youtube.com/embed/NAQl-YdLPlw?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent
inclusivepatch,InclusivePatch,https://devpost.com/software/inclusivepatch,individual AI review of complete saved public description; no new runtime verification,136,9,8.5,7.5,8.5,83.75,No arbitrary selector or generic DOM mutation tool is exposed. | Human judgment over accessible wording is retained within an auditable repair history.,Six planted checkout defects and one deterministic journey do not establish remediation across real applications or diverse assistive technologies.,"Phase-aware tools, human-revised wording and version-bound approved patches create a substantive shared remediation loop.","The described scan, review, repair, keyboard replay and export path has concrete fixture and browser validation.",Moving from accessibility findings to verified journeys targets a real engineering bottleneck.,Bounded reversible fixes plus before-and-after journey evidence go beyond a conventional scanner wrapper.,A strong complete remediation prototype whose narrow fixture is clearly disclosed. Real component patches and assistive-technology testing would most strengthen its practical case.,high,contender,review/broad/scorecards/inclusivepatch.md,Every proposal is visible for human review | an 11-step keyboard-only journey,prior source inventory and live snapshot; targeted inspection depth varies,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/1aifanatic/inclusivepatch-webmcp-challenge,https://www.youtube.com/embed/4kPJV9zc7Ps?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent
interface-passport,Interface Passport,https://devpost.com/software/interface-passport,individual AI review of complete saved public description; no new runtime verification,136,9,8.5,7.5,8.5,83.75,Undo preserves compatible later work and remains unavailable to agent tools. | The description explicitly distinguishes page approval from proof of who clicked.,All accounts and civic scenarios are synthetic; modeled reading burden is not measured accessibility benefit.,"Negotiated preference subsets, exact previews and page-owned reversal create substantive cross-origin authority boundaries.","State-hash checks, fail-closed registration and adversarial tests support a detailed synthetic system.","Accessible settings transfer and account cleanup have clear uses, without real-user outcome evidence yet.",Reusing a minimized preference contract across distinct capability sets is ambitious and coherent.,A strong consent and preference-transfer prototype. Real participant studies and authenticated destinations would most test its generality.,high,contender,review/broad/scorecards/interface-passport.md,Page-recorded approval prevents a forged tool argument | it does not prove who clicked the visible control,description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/jagritvats/interpass-pb,https://www.youtube.com/embed/myEazRRIuaU?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent
joepro-webmcp-challenge,The Wringer,https://devpost.com/software/joepro-webmcp-challenge,individual AI review of complete saved public description; no new runtime verification,136,9,8.5,7.5,8.5,83.75,The free native flow is clearly distinguished from paid provider execution. | Payment redemption and run ownership are enforced beyond schema validity.,The free demonstration stops at staging and does not itself validate paid multi-agent success. | Durable runs across browser closure and redeployment are still part of the roadmap.,"Shared case compilation, repair and paid-action staging connect agent work to visible human review.","Atomic entitlements, scoped provider keys and bounded evidence give the real paid workflow substantial technical credibility.","Making work orders falsifiable addresses a broad agent-reliability need, though outcome improvement is not measured.",Having agents challenge their own task contracts before execution is a distinctive product loop.,A strong verification-workflow integration with concrete payment boundaries. Measured task-quality improvements and durable-run recovery would most strengthen its impact.,high,contender,review/broad/scorecards/joepro-webmcp-challenge.md,"checkout_started: false, and charged: false | per-run five-hour OpenRouter keys capped to the purchased budget",description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/JoeProAI/the-wringer; https://github.com/JoeProAI/the-wringer/blob/main/docs/webmcp.md; https://github.com/JoeProAI/the-wringer/blob/main/docs/hackathon-changes.md,https://www.youtube.com/embed/rsLChA95tQU?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent
ledgerrehearsal,LedgerRehearsal,https://devpost.com/software/ledgerrehearsal,individual AI review of complete saved public description; no new runtime verification,136,9,8.5,7.5,8.5,83.75,Zero-argument execution prevents mutation substitution after review. | Stale handles remain blocked by server checks.,Authentication and external finance services are outside scope; exactly-once behavior applies only within this application's boundary.,"Approval, drift and consumption change the live tool surface while exact stored transitions constrain execution.","Server compare-and-swap, precondition rechecks and competing-caller tests substantiate the lifecycle beyond UI revocation.","Stale approvals are a real operational problem, although finance effects are simulated.",The observable capability choreography is an unusually coherent synthesis of established controls.,A leading authority-lifecycle contender. A real external effect with uncertain completion would most test its recovery guarantees.,high,contender,review/broad/scorecards/ledgerrehearsal.md,The execution tool accepts zero mutation arguments. | Removing a tool from the browser is not enough,description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/JAYAPLY/ledger-rehearsal,https://www.youtube.com/embed/NY8FDd7Ygk8?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent
mcpilot-adaptive-interactive-play-lab,MCPilot Adaptive Interactive Play Lab,https://devpost.com/software/mcpilot-adaptive-interactive-play-lab,individual AI review of complete saved public description; no new runtime verification,136,9,8.5,7.5,8.5,83.75,Worse subjective experience vetoes a success verdict. | Voice guidance is explicitly separate from mutating tools.,A short fixed course and one reported player cannot establish effective personalization.,Single-use approved-plan tools and human-only check-ins use dynamic WebMCP authority exceptionally well.,"Exact undo, fixed-course comparison and a disclosed negative played result support honest execution.","Adaptive controls address accessibility needs, but one trial pair does not demonstrate benefit.",Combining objective metrics with a human veto creates a distinctive evaluation loop.,"A leading permission-design example; its negative result is useful evidence of restraint, while accessibility efficacy remains open.",high,contender,review/broad/scorecards/mcpilot-adaptive-interactive-play-lab.md,Worse vetoes success. | Player check-in: Worse for me,description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/mcpilotandmore/mcpilot-adaptive-play-lab,https://www.youtube.com/embed/etHmptvGNvc?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent
release-airlock,Release Airlock,https://devpost.com/software/release-airlock,individual AI review of complete saved public description; no new runtime verification,136,9,8.5,7.5,8.5,83.75,Reports study confounds and demonstrates that a browser host can cross a nominal human-only UI boundary.,"Held gestures and isTrusted checks are host-specific mitigations, not universal human identity proof; scripted operators limit study interpretation.","Stage-scoped proposals, provenance grading and ordered plans deeply use shared incident context.","Specific host bypass findings, repaired no-op explanations and large scoped evaluations support strong execution.","Operator assistance is valuable, but all operational effects remain simulated.",Investigating the actual DOM/tool authority gap adds distinctive ecosystem insight.,"A leading richly tested interaction prototype whose most valuable result is its candid discovery of authority limits, not a blanket production guarantee.",high,contender,review/broad/scorecards/release-airlock.md,the turn cap is not arm-neutral and the study's operator is a script | Every event was isTrusted:false,description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/Sidharth1999/webmcp-airlock; https://github.com/webmachinelearning/webmcp/issues/288; https://github.com/Sidharth1999/webmcp-airlock/blob/main/docs/evals.md; https://github.com/Sidharth1999/webmcp-airlock/blob/main/docs/thesis.md; https://github.com/Sidharth1999/webmcp-airlock/blob/main/docs/spec-feedback.md,https://www.youtube.com/embed/gqN-fXtGodk?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent
room-a-web-page-that-argues-back,ROOM — a web page that argues back,https://devpost.com/software/room-a-web-page-that-argues-back,individual AI review of complete saved public description; no new runtime verification,136,9,8.5,7.5,8.5,83.75,Distinguishes an unanswered approval from a human refusal and preserves actual rejection reasons.,The agent-callable force flag requires more explicit enforcement than a statement that the human must have agreed. | A 10cm grid and encoded rules cannot establish universal physical accessibility.,"Contextual tools, structured spatial refusals and human-message registration support rich bidirectional collaboration.","Mutation testing, native API probes and repaired misleading search results provide strong technical evidence.","Constraint-aware room planning is useful, but heuristic design rules are not accessibility or electrical certification.",Tool-list changes as a message channel and human-readable infeasibility make an inventive interaction model.,"A highly inventive spatial collaboration system with strong failure-oriented testing, qualified by its override and real-world safety boundaries.",high,contender,review/broad/scorecards/room-a-web-page-that-argues-back.md,read_message_from_human | silence gets reported as a refusal,description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/mukeshbasira/Webmcpdemo,https://www.youtube.com/embed/BXF_AZuoDZs?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent
roomwright-fca8bq,Roomwright,https://devpost.com/software/roomwright-fca8bq,individual AI review of complete saved public description; no new runtime verification,136,9,8.5,7.5,8.5,83.75,Structured refusals include exact overlap and a valid suggested position.,"The server persists client-computed geometry and multiplayer is last-write-wins. | One paired benchmark cannot establish general speedups, and a valid model is not a guaranteed physical fit.","Refusal-derived tool lessons, runtime composition and shared constraints make WebMCP central to the experience.",A disclosed UI-versus-tool run and concrete in-flight re-registration fixes support substantial execution.,"Collaborative planning is useful, but client authority and catalog assumptions limit physical guarantees.",Tools that learn room-specific lessons and compose new routines are ambitious and distinctive.,"A sophisticated self-correcting planner with concrete native engineering, tempered by client-authoritative geometry and limited benchmark breadth.",high,contender,review/broad/scorecards/roomwright-fca8bq.md,today the server persists what the client computes | Re-registering a tool to add a new lesson had to be deferred,description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,,https://www.youtube.com/embed/T4RCvPXitYc?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent
strudel-webmcp,Strudel WebMCP,https://devpost.com/software/strudel-webmcp,individual AI review of complete saved public description; no new runtime verification,136,9,8.5,7.5,8.5,83.75,Even inline slider changes invalidate stale agent edits through the current code hash.,"Live mode executes agent-authored code, so source trust still matters; energy measurements do not establish musical quality and package downloads are not adoption.","Exact unsaved buffers, live scheduler actions, auditionable proposals, and fresh hashes create exceptionally direct collaboration.",Real-editor slider tests and mode-specific coverage substantiate stale-write and permission behavior.,Live coders gain a second contributor without duplicating their instrument state.,Audition-before-accept and measured live output distinguish it from music generation.,A leading example of shared live creative state with concrete concurrency and review evidence.,high,contender,review/broad/scorecards/strudel-webmcp.md,including a slider drag | in review mode both become proposals.,description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/alliecatowo/strudel-webmcp,https://www.youtube.com/embed/30XNqUlsY4o?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent
the-coop,The Coop,https://devpost.com/software/the-coop,individual AI review of complete saved public description; no new runtime verification,136,9,8.5,7.5,8.5,83.75,"A movement request is not reported successful merely because it was accepted. | Filters authored solutions, future levels and hidden mechanism details from observations.",Active rooms remain in server memory and rely on one supervised process. | Campaign completion tests do not establish how well varied real agents communicate with players.,Seat-bound movement waits for authoritative arrival while safe observations preserve the puzzle-solving role.,"Colyseus authority and concrete join, reconnect and stale-generation testing support a complete campaign.","Cooperative play is a credible audience, with limited persistent progression in the current release.","A real second-player agent with synchronized mechanisms is a distinctive, technically meaningful collaboration.","A leading cooperative game entry, particularly strong on authoritative action outcomes and asynchronous lifecycle behavior.",high,contender,review/broad/scorecards/the-coop.md,"it must correlate the correct sequence, observe later authoritative state, and confirm arrival. | active rooms remain in server memory.",description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,,https://www.youtube.com/embed/tQgKy1jF5tg?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent
webmcp-tda,WebMCP TDA,https://devpost.com/software/webmcp-tda,individual AI review of complete saved public description; no new runtime verification,136,9,8.5,7.5,8.5,83.75,"Bounds worst-case simplex count rather than only input size. | Accounts for differing Rips, Cech, and Alpha visualization conventions.",Agent-generated arrays lack the planned seeded reproducibility tool. | Accessible persistence tables and large-bundle optimization remain future work.,Agents compute real topology while humans inspect and change the same data and filtration.,"Established WASM computation, bounded complexity, and worker termination support strong technical execution.","Can lower the barrier to exploratory topology, within a specialist audience.",Synchronized filtration geometry and persistent homology make a distinctive scientific collaboration.,"A strong local scientific workbench with real domain computation, careful visual semantics, and meaningful bounded execution.",high,contender,review/broad/scorecards/webmcp-tda.md,worst-case simplex count | Cancellation terminates the active worker,description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/topo-lab/webmcp-tda; https://github.com/topo-lab/tda-wasm; https://github.com/topo-lab/tda-viz-react,https://www.youtube.com/embed/eiwAkZ9b2aw?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent
ground-truth-a-webmcp-co-op-sci-fi-puzzle-game,Ground Truth | A WebMCP Co-op Sci-fi Puzzle Game,https://devpost.com/software/ground-truth-a-webmcp-co-op-sci-fi-puzzle-game,individual AI review of complete saved public description; no new runtime verification,153,9,8.5,7,9,83.75,New tools track restored systems and puzzle progress. | The agent communicates inside the ship while physical actions remain with the player.,A long harness-specific prompt still carries significant behavior and information-boundary responsibility. | Cross-agent compatibility and browser connection stability remain acknowledged limitations.,Asymmetric telemetry and physical controls make native agent participation essential to the game rather than optional assistance.,"Two levels, checkpoints and reconnect fixes support a complete experience, with host-specific behavior constraints.","A compelling recreational and interaction-design demonstration, though onboarding and host dependence limit reach.",Resource-limited diagnostic cooperation is a distinctive and ambitious use of WebMCP as game mechanics.,"A standout cooperative game with deep WebMCP integration and concrete recovery work, tempered by substantial host and prompting requirements.",high,contender,review/broad/scorecards/ground-truth-a-webmcp-co-op-sci-fi-puzzle-game.md,every physical control remains with Demi. | a complete two-level narrative puzzle game,description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/user-attachments/assets/37c4c5b9-75ab-4b12-8551-a002b050d90b; https://github.com/sanvishal/ground-truth,https://www.youtube.com/embed/6KIYPWLGoPI?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent
singularity-inc,Singularity Inc,https://devpost.com/software/singularity-inc,individual AI review of complete saved public description; no new runtime verification,153,9,8.5,7,9,83.75,"Resource ceilings, rolling budgets, and fallback content preserve play when the agent fails.",Cross-machine multiplayer needs a relay; claims that the concept is possible only through WebMCP are overstated.,The visiting agent plays a bounded world participant with stable tools and explicit recovery paths.,"Reported execution-time revalidation, authored fallback slots, and worst-permitted-agent evaluations substantiate the game loop.","A complete simulation offers an engaging route into agent collaboration, but broader learning outcomes remain speculative.",Making the user's assistant the world rather than a menu operator is unusually distinctive.,"A distinctive, concretely bounded agent-participation game deserving comparative review.",high,contender,review/broad/scorecards/singularity-inc.md,Your assistant plays the world. | Every effect is bounded twice,description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/AbhisekBasu1/singularityinc,https://www.youtube.com/embed/UQi7MzX-Wo8?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent
ai-aided-design,AIAD (AI-Aided Design),https://devpost.com/software/ai-aided-design,individual AI review of complete saved public description; no new runtime verification,155,9,8,8,8.5,83.75,Submission uses the visible form without hidden overrides. | Counts and outliers make large model queries usable within a token budget.,Local IndexedDB issues lack a described team review or synchronization workflow. | Evidence gap: behavior across varied translated models is not characterized.,"Selection-aware queries, visible issue drafts and geometry-dependent registration exploit shared browser state particularly well.","Bounded metadata results, restored viewer state and local issue storage form a coherent review implementation.",Reviewing BIM properties and reporting spatial issues fits an established professional task.,Combining deictic questions with full viewpoint restoration makes this more than CAD command automation.,A leading description-based candidate for its precise shared-context design. Cross-model robustness and collaborative issue handling warrant later comparison.,high,contender,review/broad/scorecards/ai-aided-design.md,"submit-issue takes no arguments at all. | none until geometry has loaded, and all ten dropped before a different design loads.",description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/autodesk-platform-services/ai-aided-design-demo,https://www.youtube.com/embed/-5HtYpOsNrg?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent
apartment-intelligence,Apartment Intelligence,https://devpost.com/software/apartment-intelligence,individual AI review of complete saved public description; no new runtime verification,155,9,8,8,8.5,83.75,Delegated and resident-confirmed results have distinct digest-bound provenance. | Reports and visual views use the same study results.,Reconstructed coordinate recipes limit geometric accuracy. | Coverage is narrow and more complete base models remain future work.,"Survey, confirmation and scoped delegation preserve meaningful provenance across agent analysis.","Named daylight engines, deployment constraints and fixed production races support a convincing bounded service.",Residents gain measurable sunlight comparisons otherwise difficult to obtain.,Bringing professional analysis into a consumer shared workspace is ambitious and well matched.,"A leading domain application with substantive computation and authority design. Geometry quality, not engine branding, is the central accuracy uncertainty.",high,contender,review/broad/scorecards/apartment-intelligence.md,"Agents explore, people vouch. | Today the tower and the apartments are coordinate recipes traced from published plans.",description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/adibzailan/senibina-webmcp-apartment-intelligence,https://www.youtube.com/embed/yV9AWxKiGog?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent
askew,Askew,https://devpost.com/software/askew,individual AI review of complete saved public description; no new runtime verification,155,9,8,8,8.5,83.75,Ambiguous contrast and unsupported hover states are explicitly declined.,Only narrow static class strings and CSS forms are supported; the public demo is a disposable single-user write environment.,"Live selection, computed styles and measured previews give agents otherwise missing runtime context.",Exact source-token replacement and production-exclusion tests substantiate a bounded write path.,Frontend debugging benefits from actionable measurements rather than screenshots.,Measured alternatives followed by human-applied source changes form an original developer loop.,A leading developer-tool candidate with concrete containment and runtime evidence. Broader source support is the main usefulness limit.,high,contender,review/broad/scorecards/askew.md,askew_stage_variants returns sourceWritten: false. | the client never sends a filesystem path,description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/codersguru-hub/askew,https://www.youtube.com/embed/H8aJbpiw-dc?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent
brickwright,BrickWrite,https://devpost.com/software/brickwright,individual AI review of complete saved public description; no new runtime verification,155,9,8,8,8.5,83.75,Missing geometry is rejected instead of replaced with invented meshes.,"Computed structural checks are not physical load tests, and catalog geometry coverage remains incomplete.",Mode-scoped capabilities and revisioned geometry proposals make shared CAD control substantive.,"Real part geometry, connection metadata and atomic command paths support execution.",Editable models and build exports are useful to serious builders.,Agent-assisted assembly using real connectors is meaningfully ambitious.,A leading geometric co-design candidate. Physical validation and native-client breadth are the main remaining checks.,high,contender,review/broad/scorecards/brickwright.md,Missing geometry returns GEOMETRY_UNAVAILABLE | a computed structural check remains different from a physical load test.,description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/rishabhcli/BrickWrite,https://www.youtube.com/embed/pMq9rt1q-fc?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent
elbow-room,Elbow Room,https://devpost.com/software/elbow-room,individual AI review of complete saved public description; no new runtime verification,155,9,8,8,8.5,83.75,Verdict confidence is constrained by the weakest measurement input. | The retailer-facing capability avoids simply exporting all room measurements.,The modeled geometry does not establish feasibility for every real three-dimensional maneuver. | Repeated cross-origin fit queries may reveal information even without direct measurement export.,"Measurement, fit analysis and failure-dependent remedies use shared geometry and selective cross-origin tools.","The description provides analytic checks, calibration details and a candid two-object real-world result.",Avoiding furniture delivery failures is a tangible consumer benefit.,Local geometry combined with a restricted retailer fit-check capability is unusually creative.,A distinctive and concrete fit-planning project with honest measurement uncertainty; broader maneuver validation and query privacy remain important limits.,high,contender,review/broad/scorecards/elbow-room.md,"Two for two, n=2, stated plainly. | A verdict is never quoted as firmer than its weakest input",description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/JonathanSolvesProblems/elbow-room,https://www.youtube.com/embed/A2cfxmLGXfg?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent
ferrule,Ferrule,https://devpost.com/software/ferrule,individual AI review of complete saved public description; no new runtime verification,155,9,8,8,8.5,83.75,Approval binds substantive plan details and is invalidated by meaningful changes. | Claims are labeled by evidence strength rather than all being presented as enforced guarantees.,"Browser-local partner data does not establish real organizational multi-user inventory consistency. | Partner-initiated revocation, signed approvals and relief-coordinator evaluation remain future work.","Cross-origin leased capabilities, policy checks and human-bound commits make WebMCP central to coordination.","Specific runtime measurements, digest invalidation and property-tested ledgers show substantial implementation work.",Coordinating independent organizations without centralizing all records addresses a meaningful operational need.,A broker for bounded multi-site collaboration is highly ambitious.,"A leading multi-origin coordination prototype with unusually concrete policy and runtime evidence, still short of real organizational identity and inventory integration.",high,contender,review/broad/scorecards/ferrule.md,"Change the origin, the tool, the arguments, or the order, and the approval is void. | Three of the sixteen are labelled declared",description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/ArhamKhan117/Ferrule,https://www.youtube.com/embed/Rb5cwQJOyZQ?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent
graphcontract,GraphContract,https://devpost.com/software/graphcontract,individual AI review of complete saved public description; no new runtime verification,155,9,8,8,8.5,83.75,Runtime observations do not overwrite accepted design truth. | Rejected or invalid input is not silently repaired into a different contract.,"Bounded graph scenarios do not prove the correctness of a future implementation. | Framework generation, trusted runtime events and repository-linked CI are not yet delivered.",Three tools negotiate a typed graph through separate proposals while freeze and handoff remain human-owned.,Revision-aware atomic validation and browser journeys support a substantial planning implementation.,"Could improve agreement before agent-system implementation, though generated framework execution is still future work.","Deterministic scenario review over loops, branches and parallel structures is an ambitious design contract.",A strong pre-implementation collaboration surface with a disciplined proposal model and important limits around executable guarantees.,high,contender,review/broad/scorecards/graphcontract.md,exactly three browser-native WebMCP tools | runtime observations that never become editable design truth,description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/vijaybadana/graphcontract,https://www.youtube.com/embed/FqnP6L8FCdU?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent
handback-universal-agent-handoff-links,Handback - Universal Agent Handoff,https://devpost.com/software/handback-universal-agent-handoff-links,individual AI review of complete saved public description; no new runtime verification,155,9,8,8,8.5,83.75,Stale contributions return current version information for recovery. | The approval setting can only be strengthened through tools.,"Withdrawal of never-expiring links is still planned. | The description explicitly limits its approval protection to tools, not browser automation.","Page-local encryption, typed receipts, version recovery and lifecycle handling make WebMCP central.","Detailed fixes for oversized results, stale writes and ambiguous pending status substantiate the implementation.",Portable structured work state addresses a common cross-agent continuity problem without account setup.,A transfer page between otherwise disconnected agents is a distinctive use of site tools.,One of the strongest descriptions for lifecycle-aware collaboration; revocation and real cross-agent retention behavior merit follow-up.,high,contender,review/broad/scorecards/handback-universal-agent-handoff-links.md,Every proposal names the baseVersion it was built on | Nearer term: a DELETE route so a never-expiring handoff can be withdrawn,description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/BraedenBDev/handback/blob/main/docs/WEBMCP-COMPATIBILITY.md; https://github.com/BraedenBDev/handback,https://www.youtube.com/embed/S_4ibM1cJXc?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent
